Sample_ID,Species,Site,Species_Group,Site_Group,Download_link,Ref
Y0006C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax lantsangensis
Y0007C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax lantsangensis
Y0008C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax lantsangensis
Y0009C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax lantsangensis
Y0010C,Schizothorax wangchiachii,Y_01_A,C_Schizothorax_wangchiachii,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/422/415/GCA_027422415.1_SKLP_Slan_1.0/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna.gz,Schizothorax lantsangensis
Y0011C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius yarrelli
Y0012C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius yarrelli
Y0013C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius yarrelli
Y0014C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius yarrelli
Y0015C,Glyptothorax fokiensis,Y_01_A,C_Glyptothorax_fokiensis,C_Y_01_A,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1/GCA_005784505.1_ASM578450v1_genomic.fna.gz,Bagarius yarrelli
