Cate,Groups,Samples
Species_Group,C_0,"Y0300C, Y0303C, Y0304C, Y0794C, Y0797C, Y0818C, Y0820C, Y0821C, Y0825C, Y0828C, Y0986C, Y0987C, Y0988C, Y0989C, Y0990C, Y0991C, Y0992C, Y0995C"
Species_Group,C_Abbottina_obtusirostris,"Y0270C, Y0271C, Y0272C"
Species_Group,C_Abbottina_rivularis,"Y0553C, Y0554C, Y0555C"
Species_Group,C_Acrossocheilus_monticola,"Y0082C, Y0083C, Y0084C, Y0085C, Y0086C"
Species_Group,C_Acrossocheilus_yunnanensis,"Y0056C, Y0057C, Y0058C, Y0061C"
Species_Group,C_Ageneiogarra_imberba,"Y0069C, Y0070C, Y0071C, Y0072C, Y0073C"
Species_Group,C_Ameiurus_nebulosus,"Y0650C, Y0651C"
Species_Group,C_Ancherythroculter_kurematsui,"Y0678C, Y0679C"
Species_Group,C_Ancherythroculter_nigrocauda,"Y0500C, Y0501C, Y0698C"
Species_Group,C_Ancherythroculter_wangi,"Y0462C, Y0463C"
Species_Group,C_Barbodes_semifasciolatus,Y0985C
Species_Group,C_Belligobio_nummifer,"Y0367C, Y0368C, Y0369C, Y0370C"
Species_Group,C_Belligobio_pengxianensis,Y0346C
Species_Group,C_Carassius_auratus,"Y0119C, Y0120C, Y0121C, Y0122C, Y0172C, Y0630C, Y0632C, Y0633C, Y0993C, Y0994C"
Species_Group,C_Chanodichthys_dabryi,"Y0499C, Y0706C, Y0707C"
Species_Group,C_Chanodichthys_mongolicus,Y0704C
Species_Group,C_Claea_dabryi,"Y0031C, Y0032C, Y0569C, Y0571C, Y0572C, Y0574C"
Species_Group,C_Cobitis_sinensis,Y0371C
Species_Group,C_Coreius_guichenoti,"Y0509C, Y0510C, Y0511C, Y0689C"
Species_Group,C_Coreius_heterodon,"Y0507C, Y0508C"
Species_Group,C_Ctenopharyngodon_idella,"Y0195C, Y0614C, Y0615C"
Species_Group,C_Culter_alburnus,"Y0453C, Y0613C"
Species_Group,C_Culter_oxycephaloides,"Y0278C, Y0279C, Y0339C, Y0340C"
Species_Group,C_Cyprinus_carpio,"Y0196C, Y0211C, Y0212C, Y0213C, Y0612C, Y0638C, Y0639C, Y0640C, Y0641C, Y0642C"
Species_Group,C_Discogobio_yunnanensis,Y0896C
Species_Group,C_Distoechodon_tumirostris,"Y0328C, Y0336C"
Species_Group,C_Euchiloglanis_kishinouyei,"Y0766C, Y0767C, Y0768C, Y0769C"
Species_Group,C_Glyptothorax_fokiensis,"Y0011C, Y0012C, Y0013C, Y0014C, Y0015C"
Species_Group,C_Glyptothorax_sinensis,"Y0163C, Y0164C, Y0601C, Y0602C, Y0604C"
Species_Group,C_Gnathopogon_herzensteini,"Y0232C, Y0234C"
Species_Group,C_Gnathopogon_imberbis,"Y0019C, Y0020C, Y0516C"
Species_Group,C_Gymnocypris_eckloni,"Y0715C, Y0718C, Y0719C"
Species_Group,C_Gymnocypris_potanini,"Y0033C, Y0034C, Y0035C, Y0036C, Y0918C, Y0921C, Y0922C, Y0923C, Y0924C"
Species_Group,C_Gymnodiptychus_pachycheilus,"Y0815C, Y0816C, Y0817C"
Species_Group,C_Hemibagrus_macropterus,"Y0077C, Y0078C, Y0079C, Y0080C, Y0081C"
Species_Group,C_Hemibarbus_labeo,"Y0112C, Y0113C, Y0114C, Y0115C, Y0116C"
Species_Group,C_Hemibarbus_maculatus,Y0653C
Species_Group,C_Hemiculter_bleekeri,"Y0696C, Y0708C, Y0709C"
Species_Group,C_Hemiculter_leucisculus,"Y0141C, Y0306C"
Species_Group,C_Hemiculter_tchangi,"Y0142C, Y0254C, Y0457C, Y0458C, Y0459C, Y0460C, Y0652C"
Species_Group,C_Hemiculterella_sauvagei,"Y0043C, Y0044C, Y0045C, Y0046C, Y0047C, Y0889C, Y0890C, Y0891C, Y0892C"
Species_Group,C_Homatula_variegata,"Y0074C, Y0075C, Y0264C, Y0548C, Y0549C, Y0550C, Y0551C, Y0552C"
Species_Group,C_Homatula_wujiangensis,"Y0255C, Y0256C, Y0384C, Y0389C"
Species_Group,C_Hypophthalmichthys_molitrix,"Y0495C, Y0496C, Y0497C"
Species_Group,C_Hypophthalmichthys_nobilis,"Y0493C, Y0494C, Y0598C"
Species_Group,C_Jinshaia_sinensis,"Y0165C, Y0166C"
Species_Group,C_Leiocassis_longirostris,"Y0426C, Y0427C, Y0428C"
Species_Group,C_Leptobotia_elongata,"Y0860C, Y0861C, Y0916C"
Species_Group,C_Liobagrus_marginatus,"Y0591C, Y0593C, Y0594C"
Species_Group,C_Liobagrus_nigricauda,"Y0525C, Y0526C"
Species_Group,C_Luciobarbus_capito,Y0654C
Species_Group,C_Megalobrama_amblycephala,Y0498C
Species_Group,C_Megalobrama_pellegrini,"Y0680C, Y0681C, Y0682C"
Species_Group,C_Misgurnus_anguillicaudatus,"Y0580C, Y0581C, Y0582C, Y0910C, Y0911C"
Species_Group,C_Myxocyprinus_asiaticus,"Y0469C, Y0519C"
Species_Group,C_Onychostoma_macrolepis,"Y0334C, Y0335C, Y0337C"
Species_Group,C_Onychostoma_simum,"Y0064C, Y0065C, Y0066C, Y0067C, Y0068C, Y0845C, Y0846C, Y0847C, Y0848C, Y0849C, Y0850C, Y0851C, Y0852C, Y0853C, Y0854C, Y0855C, Y0856C, Y0857C, Y0858C, Y0932C, Y0933C, Y0934C, Y0935C, Y0936C, Y0937C, Y0939C, Y0940C, Y0941C, Y0942C, Y0943C, Y0949C, Y0952C, Y0958C, Y0959C"
Species_Group,C_Opsariichthys_bidens,"Y0156C, Y0157C, Y0158C, Y0159C, Y0235C"
Species_Group,C_Parabotia_bimaculata,Y0215C
Species_Group,C_Parabotia_fasciatus,Y0345C
Species_Group,C_Paramisgurnus_dabryanus,"Y0028C, Y0565C, Y0566C, Y0567C"
Species_Group,C_Percocypris_pingi,"Y0017C, Y0018C, Y0879C, Y0880C, Y0881C"
Species_Group,C_Platysmacheilus_nudiventris,"Y0108C, Y0109C, Y0110C, Y0111C"
Species_Group,C_Procypris_rabaudi,"Y0038C, Y0039C, Y0040C, Y0041C, Y0042C, Y0202C, Y0862C, Y0863C, Y0864C, Y0865C, Y0866C, Y0867C, Y0868C, Y0869C, Y0870C, Y0871C, Y0872C, Y0873C, Y0874C, Y0875C, Y0876C, Y0930C, Y0931C, Y0950C, Y0951C, Y0960C, Y0973C, Y0974C, Y0975C"
Species_Group,C_Pseudobagrus_pratti,"Y0238C, Y0239C"
Species_Group,C_Pseudobagrus_truncatus,"Y0169C, Y0170C, Y0171C, Y0241C, Y0247C, Y0248C"
Species_Group,C_Pseudobrama_simoni,"Y0480C, Y0482C, Y0483C, Y0484C"
Species_Group,C_Pseudogyrinocheilus_prochilus,"Y0048C, Y0049C, Y0050C, Y0051C, Y0052C, Y0899C, Y0900C"
Species_Group,C_Pseudolaubuca_sinensis,"Y0470C, Y0471C, Y0472C, Y0473C"
Species_Group,C_Pseudorasbora_parva,"Y0151C, Y0535C, Y0536C, Y0537C"
Species_Group,C_Rhinogobio_cylindricus,"Y0684C, Y0686C, Y0687C, Y0688C"
Species_Group,C_Rhinogobio_typus,"Y0092C, Y0093C, Y0094C, Y0095C, Y0096C"
Species_Group,C_Rhinogobio_ventralis,Y0691C
Species_Group,C_Rhinogobius_cliffordpopei,Y0600C
Species_Group,C_Rhinogobius_similis,"Y0016C, Y0527C, Y0894C, Y0895C"
Species_Group,C_Rhodeus_ocellatus,Y0245C
Species_Group,C_Sarcocheilichthys_nigripinnis,"Y0222C, Y0246C"
Species_Group,C_Saurogobio_dabryi,"Y0160C, Y0161C, Y0162C, Y0204C, Y0206C"
Species_Group,C_Saurogobio_punctatus,"Y0143C, Y0144C, Y0145C, Y0146C, Y0147C"
Species_Group,C_Schizopyge_dolichonema,"Y0761C, Y0762C"
